CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1039	1112	4	0.9191	26.013
1072	1075	4	0.9416	0.000
1051	1537	4	0.9633	0.010
1007	1018	4	0.9302	0.000
501	1051	4	0.9851	0.000
523	878	4	0.9705	21.985
787	1051	4	0.9923	24.000
1072	1112	4	0.9284	26.015
501	787	4	0.9773	-24.000
523	881	4	0.9468	-0.001
501	743	4	0.9927	-21.984
849	878	4	0.9798	19.969
1018	1112	4	0.8928	-0.001
775	1051	4	0.9694	26.015
1208	1537	4	0.9617	40.004
523	787	4	0.9932	-2.015
743	1619	4	0.955	-4.031
1112	1537	4	0.9465	238.239
781	1075	4	0.9594	0.001
878	1619	4	0.9665	-26.016
1039	1072	4	0.9324	-0.002
743	787	4	0.9777	-2.016
787	1208	4	0.9581	-15.994
849	1051	4	0.9793	19.969
878	1051	4	0.9715	-0.000
743	1208	4	0.9667	-18.010
1075	1112	4	0.9256	26.015
849	1208	4	0.9684	-20.025
743	1051	4	0.9792	21.984
787	1537	4	0.9566	24.010
1051	1208	4	0.9553	-39.994
781	1039	4	0.948	0.003
743	878	4	0.9778	21.985
523	849	4	0.9795	2.016
775	849	4	0.9801	6.046
501	775	4	0.9856	-26.015
501	881	4	0.9637	-21.985
501	878	4	0.9876	0.001
787	881	4	0.939	2.015
849	881	4	0.9532	-2.016
1039	1075	4	0.9409	-0.002
1477	1811	5	0.9262	32.026
1477	1807	5	0.791	16.031
1801	1807	5	0.7393	17.974
1786	1811	5	0.9363	18.011
1801	1811	5	0.7172	33.970
1477	1786	5	0.9819	14.015
1807	1811	5	0.8907	15.995
1801	1814	5	0.7574	-21.982
1786	1807	5	0.8416	2.015
2563	2575	6	0.8635	-0.001
1322	2563	6	0.8111	-57.009
1733	1736	6	0.8814	-0.000
344	1733	6	0.9435	14.016
1322	2156	6	0.916	-28.031
2563	2568	6	0.8644	42.010
344	1736	6	0.9145	14.016
344	1322	6	0.7828	-11.016
1081	1554	7	0.8745	-2.015
1088	1554	7	0.8909	-16.032
1081	1088	7	0.9135	14.017
2133	2430	8	0.977	-33.962
2133	2478	8	0.9148	-42.011
2430	2474	8	0.9731	33.961
2474	2478	8	0.9081	-42.011
2133	2474	8	0.9801	-0.000
2430	2478	8	0.8712	-8.050
820	829	9	0.982	0.000
785	810	10	0.8797	0.002
798	1622	10	0.9594	-238.228
489	649	10	0.9845	-24.004
508	1104	10	0.961	-2.011
798	826	10	0.9348	26.020
515	643	10	0.9835	-21.984
521	790	10	0.9681	-26.016
489	648	10	0.9879	-21.989
1158	1352	10	0.9712	-45.992
631	1104	10	0.9706	0.004
521	648	10	0.9721	-21.985
1058	1415	10	0.9619	-30.044
